epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,134.457,0.884,0.95463,1.35685,0.67809,0.80667,0.74426,0.40765,1.56374,1.12262,2.4284,0.000660045,0.000660045,0.000660045
43,137.972,0.8647,0.91571,1.33008,0.84977,0.81301,0.84056,0.53703,1.39499,0.94319,2.22195,0.000649046,0.000649046,0.000649046
44,141.37,0.8958,0.93739,1.34029,0.82751,0.76424,0.81731,0.4596,1.52722,1.29666,2.21902,0.000638047,0.000638047,0.000638047
45,144.923,0.89787,0.90099,1.37764,0.704,0.66667,0.72276,0.48056,1.48476,1.03868,2.20233,0.000627048,0.000627048,0.000627048
46,148.446,0.87833,0.8731,1.35123,0.80984,0.78721,0.82408,0.56167,1.43781,0.96312,2.15316,0.000616049,0.000616049,0.000616049
47,151.709,0.82964,0.8427,1.2866,0.73874,0.8419,0.82645,0.52822,1.4211,1.03824,2.13798,0.000605051,0.000605051,0.000605051
48,154.895,0.86078,0.80662,1.33363,0.79854,0.82848,0.85978,0.48136,1.53592,1.09468,2.30093,0.000594052,0.000594052,0.000594052
49,158.141,0.77792,0.80899,1.26751,0.84862,0.82083,0.85258,0.4679,1.48793,1.10575,2.21444,0.000583053,0.000583053,0.000583053
50,161.27,0.85086,0.79487,1.31899,0.85324,0.8622,0.91056,0.61572,1.32408,0.95756,1.98132,0.000572054,0.000572054,0.000572054
51,164.554,0.7985,0.81226,1.29637,0.8573,0.85143,0.85128,0.53612,1.44411,0.98273,2.0824,0.000561055,0.000561055,0.000561055
52,167.972,0.77551,0.74751,1.25114,0.80912,0.82112,0.82458,0.55185,1.32017,0.87586,1.95756,0.000550056,0.000550056,0.000550056
53,171.287,0.81986,0.81376,1.2913,0.69713,0.86656,0.80466,0.52782,1.37242,1.01811,2.03974,0.000539057,0.000539057,0.000539057
54,174.661,0.83449,0.82129,1.30287,0.88299,0.81546,0.868,0.53607,1.48929,0.95639,2.24889,0.000528058,0.000528058,0.000528058
55,178.04,0.78099,0.75936,1.24912,0.72177,0.74461,0.7772,0.50869,1.39331,1.04838,2.12632,0.000517059,0.000517059,0.000517059
56,181.344,0.75593,0.75063,1.25335,0.79268,0.81574,0.81495,0.48339,1.4722,1.15434,2.32911,0.00050606,0.00050606,0.00050606
57,184.712,0.72695,0.70307,1.22347,0.82272,0.81781,0.84132,0.5729,1.28432,0.95395,2.09895,0.000495062,0.000495062,0.000495062
58,188.086,0.74647,0.73277,1.24387,0.85308,0.89968,0.85684,0.57244,1.25883,0.85604,2.0191,0.000484063,0.000484063,0.000484063
59,191.123,0.77166,0.73796,1.25628,0.81691,0.81593,0.83402,0.56079,1.34121,0.8534,2.17764,0.000473064,0.000473064,0.000473064
60,194.454,0.78399,0.76997,1.29479,0.82339,0.82242,0.81464,0.49996,1.54462,0.94577,2.72082,0.000462065,0.000462065,0.000462065
61,198.081,0.73564,0.71468,1.22492,0.81152,0.82172,0.82832,0.57926,1.47685,0.91886,2.47452,0.000451066,0.000451066,0.000451066
62,201.598,0.77195,0.72799,1.24511,0.82529,0.79453,0.81749,0.57075,1.28279,0.84283,2.17382,0.000440067,0.000440067,0.000440067
63,204.976,0.737,0.69822,1.22838,0.83295,0.80359,0.82442,0.53507,1.43998,0.92897,2.35967,0.000429068,0.000429068,0.000429068
64,208.197,0.77167,0.73853,1.25094,0.8087,0.77874,0.83377,0.57119,1.31535,1.04005,2.14149,0.000418069,0.000418069,0.000418069
65,211.603,0.73735,0.71815,1.25763,0.76666,0.86205,0.8357,0.54894,1.35919,0.85816,2.17505,0.00040707,0.00040707,0.00040707
66,215.122,0.74748,0.71249,1.25529,0.81145,0.86978,0.84073,0.55328,1.33014,0.83042,2.15945,0.000396071,0.000396071,0.000396071
67,218.412,0.70937,0.67188,1.22392,0.79366,0.914,0.85659,0.50109,1.54501,0.85277,2.41678,0.000385073,0.000385073,0.000385073
68,221.767,0.71152,0.67853,1.21759,0.8097,0.83339,0.85169,0.50247,1.52632,0.92159,2.362,0.000374074,0.000374074,0.000374074
69,224.933,0.74543,0.7094,1.22942,0.85338,0.74362,0.83798,0.50915,1.54584,1.0165,2.38058,0.000363075,0.000363075,0.000363075
70,228.291,0.70241,0.64828,1.20342,0.78883,0.90909,0.85486,0.54863,1.51709,0.77995,2.36609,0.000352076,0.000352076,0.000352076
71,231.587,0.68082,0.66373,1.20285,0.84356,0.90488,0.85492,0.57087,1.36322,0.78471,2.17464,0.000341077,0.000341077,0.000341077
72,235.057,0.68467,0.68251,1.19097,0.79792,0.87707,0.85075,0.58282,1.4289,0.80231,2.29486,0.000330078,0.000330078,0.000330078
73,238.087,0.70513,0.63216,1.18921,0.78409,0.86478,0.8464,0.57281,1.40692,0.79796,2.28203,0.000319079,0.000319079,0.000319079
74,241.412,0.67898,0.60991,1.18684,0.83067,0.81411,0.82994,0.5863,1.36898,0.79338,2.27217,0.00030808,0.00030808,0.00030808
75,244.413,0.68025,0.62834,1.19966,0.83527,0.87056,0.83656,0.55776,1.37898,0.71675,2.2972,0.000297081,0.000297081,0.000297081
76,247.546,0.63981,0.61312,1.16287,0.84456,0.86821,0.83776,0.55225,1.37648,0.7022,2.29147,0.000286083,0.000286083,0.000286083
77,250.628,0.66008,0.62926,1.17021,0.92902,0.92,0.95533,0.54508,1.51194,0.7011,2.43126,0.000275084,0.000275084,0.000275084
